year,team,hW,hD,hL,home_win_perc,home_goals,home_goals_conceded,aW,aD,aL,away_win_perc,away_goals,away_goals_conceded,tW,tD,tL,total_win_perc,total_goals
1993,Manchester Utd,14,5,2,66.67,39,14,10,7,4,47.62,28,17,24,12,6,57.14,67
1994,Manchester Utd,14,6,1,66.67,39,13,13,5,3,61.9,41,25,27,11,4,64.29,80
1995,Manchester Utd,16,4,1,76.19,42,4,10,6,5,47.62,35,24,26,10,6,61.9,77
1996,Manchester Utd,15,4,0,78.95,36,9,10,3,6,52.63,37,26,25,7,6,65.79,73
1997,Manchester Utd,12,5,2,63.16,38,17,9,7,3,47.37,38,27,21,12,5,55.26,76
1998,Manchester Utd,13,4,2,68.42,42,9,10,4,5,52.63,31,17,23,8,7,60.53,73
1999,Manchester Utd,14,4,1,73.68,45,18,8,9,2,42.11,35,19,22,13,3,57.89,80
2000,Manchester Utd,15,4,0,78.95,59,16,13,3,3,68.42,38,29,28,7,3,73.68,97
2001,Manchester Utd,15,2,2,78.95,49,12,9,6,4,47.37,30,19,24,8,6,63.16,79
2002,Manchester Utd,11,2,6,57.89,40,17,13,3,3,68.42,47,28,24,5,9,63.16,87
2003,Manchester Utd,16,2,1,84.21,42,12,9,6,4,47.37,32,22,25,8,5,65.79,74
2004,Manchester Utd,12,4,3,63.16,37,15,11,2,6,57.89,27,20,23,6,9,60.53,64
2005,Manchester Utd,12,6,1,63.16,31,12,10,5,4,52.63,27,14,22,11,5,57.89,58
2006,Manchester Utd,13,5,1,68.42,37,8,12,3,4,63.16,35,26,25,8,5,65.79,72
2007,Manchester Utd,15,2,2,78.95,46,12,13,3,3,68.42,37,15,28,5,5,73.68,83
2008,Manchester Utd,17,1,1,89.47,47,7,10,5,4,52.63,33,15,27,6,5,71.05,80
2009,Manchester Utd,16,2,1,84.21,43,13,12,4,3,63.16,25,11,28,6,4,73.68,68
2010,Manchester Utd,16,1,2,84.21,52,12,11,3,5,57.89,34,16,27,4,7,71.05,86
2011,Manchester Utd,18,1,0,94.74,49,12,5,10,4,26.32,29,25,23,11,4,60.53,78
2012,Manchester Utd,15,2,2,78.95,52,19,13,3,3,68.42,37,14,28,5,5,73.68,89
2013,Manchester Utd,16,0,3,84.21,45,19,12,5,2,63.16,41,24,28,5,5,73.68,86
2014,Manchester Utd,9,3,7,47.37,29,21,10,4,5,52.63,35,22,19,7,12,50.0,64
2015,Manchester Utd,14,2,3,73.68,41,15,6,8,5,31.58,21,22,20,10,8,52.63,62
2016,Manchester Utd,12,5,2,63.16,27,9,7,4,8,36.84,22,26,19,9,10,50.0,49
2017,Manchester Utd,8,10,1,42.11,26,12,10,5,4,52.63,28,17,18,15,5,47.37,54
2018,Manchester Utd,15,2,2,78.95,38,9,10,4,5,52.63,30,19,25,6,7,65.79,68
2019,Manchester Utd,10,6,3,52.63,33,25,9,3,7,47.37,32,29,19,9,10,50.0,65
2020,Manchester Utd,10,7,2,52.63,40,17,8,5,6,42.11,26,19,18,12,8,47.37,66
2021,Manchester Utd,9,4,6,47.37,38,28,12,7,0,63.16,35,16,21,11,6,55.26,73
2022,Manchester Utd,10,5,4,52.63,32,22,6,5,8,31.58,25,35,16,10,12,42.11,57
2023,Manchester Utd,15,3,1,78.95,36,10,8,3,8,42.11,22,33,23,6,9,60.53,58
1993,Arsenal,8,6,7,38.1,25,20,7,5,9,33.33,15,18,15,11,16,35.71,40
1994,Arsenal,10,8,3,47.62,25,15,8,9,4,38.1,28,13,18,17,7,42.86,53
1995,Arsenal,6,9,6,28.57,27,21,7,3,11,33.33,25,28,13,12,17,30.95,52
1996,Arsenal,10,7,2,52.63,30,16,7,5,7,36.84,19,16,17,12,9,44.74,49
1997,Arsenal,10,5,4,52.63,36,18,9,6,4,47.37,26,14,19,11,8,50.0,62
1998,Arsenal,15,2,2,78.95,43,10,8,7,4,42.11,25,23,23,9,6,60.53,68
1999,Arsenal,14,5,0,73.68,34,5,8,7,4,42.11,25,12,22,12,4,57.89,59
2000,Arsenal,14,3,2,73.68,42,17,8,4,7,42.11,31,26,22,7,9,57.89,73
2001,Arsenal,15,3,1,78.95,45,13,5,7,7,26.32,18,25,20,10,8,52.63,63
2002,Arsenal,12,4,3,63.16,42,25,14,5,0,73.68,37,11,26,9,3,68.42,79
2003,Arsenal,15,2,2,78.95,47,20,8,7,4,42.11,38,22,23,9,6,60.53,85
2004,Arsenal,15,4,0,78.95,40,14,11,8,0,57.89,33,12,26,12,0,68.42,73
2005,Arsenal,13,5,1,68.42,54,19,12,3,4,63.16,33,17,25,8,5,65.79,87
2006,Arsenal,14,3,2,73.68,48,13,6,4,9,31.58,20,18,20,7,11,52.63,68
2007,Arsenal,12,6,1,63.16,43,16,7,5,7,36.84,20,19,19,11,8,50.0,63
2008,Arsenal,14,5,0,73.68,37,11,10,6,3,52.63,37,20,24,11,3,63.16,74
2009,Arsenal,11,5,3,57.89,31,16,9,7,3,47.37,37,21,20,12,6,52.63,68
2010,Arsenal,15,2,2,78.95,48,15,8,4,7,42.11,35,26,23,6,9,60.53,83
2011,Arsenal,11,4,4,57.89,33,15,8,7,4,42.11,39,28,19,11,8,50.0,72
2012,Arsenal,12,4,3,63.16,39,17,9,3,7,47.37,35,32,21,7,10,55.26,74
