team,home_results,home_results_perc,away_results,away_results_perc,combined_results,combined_results_perc
Arsenal,382,64.2,263,44.2,645,54.2
Aston Villa,220,40.89,152,28.25,372,34.57
Barnsley,7,36.84,3,15.79,10,26.32
Birmingham City,50,37.59,23,17.29,73,27.44
Blackburn,169,48.56,93,26.72,262,37.64
Blackpool,5,26.32,5,26.32,10,26.32
Bolton,93,37.65,56,22.67,149,30.16
Bournemouth,40,35.09,27,23.68,67,29.38
Bradford City,10,26.32,4,10.53,14,18.42
Brentford,17,44.74,11,28.95,28,36.84
Brighton,37,32.46,29,25.44,66,28.95
Burnley,52,34.21,31,20.39,83,27.3
Cardiff City,11,28.95,6,15.79,17,22.37
Charlton Ath,58,38.16,35,23.03,93,30.6
Chelsea,360,60.5,269,45.21,629,52.86
Coventry City,65,36.72,34,19.21,99,27.96
Crystal Palace,84,31.11,72,26.67,156,28.89
Derby County,48,36.09,20,15.04,68,25.56
Everton,273,45.88,153,25.71,426,35.8
Fulham,128,42.11,49,16.12,177,29.12
Huddersfield,8,21.05,4,10.53,12,15.79
Hull City,29,30.53,12,12.63,41,21.58
Ipswich Town,35,34.65,22,21.78,57,28.22
Leeds United,135,46.39,88,30.24,223,38.32
Leicester City,130,40.0,88,27.08,218,33.54
Liverpool,376,63.19,252,42.35,628,52.77
Manchester City,297,59.4,204,40.8,501,50.1
Manchester Utd,417,70.08,309,51.93,726,61.0
Middlesbrough,110,38.33,55,19.16,165,28.74
Newcastle Utd,264,49.25,137,25.56,401,37.4
Norwich City,66,33.67,33,16.84,99,25.26
Nott'ham Forest,43,36.44,26,22.03,69,29.24
Oldham Athletic,15,35.71,7,16.67,22,26.19
Portsmouth,54,40.6,25,18.8,79,29.7
QPR,51,36.69,30,21.58,81,29.14
Reading,23,40.35,9,15.79,32,28.07
Sheffield Utd,38,38.38,15,15.15,53,26.76
Sheffield Weds,63,39.87,38,24.05,101,31.96
Southampton,180,38.96,100,21.65,280,30.3
Stoke City,81,42.63,35,18.42,116,30.52
Sunderland,98,32.24,55,18.09,153,25.16
Swansea City,51,38.35,31,23.31,82,30.83
Swindon Town,4,19.05,1,4.76,5,11.9
Tottenham,323,54.29,197,33.11,520,43.7
Watford,45,29.61,28,18.42,73,24.02
West Brom,76,30.77,41,16.6,117,23.68
West Ham,224,43.33,122,23.6,346,33.47
Wigan Athletic,48,31.58,37,24.34,85,27.96
Wimbledon,62,39.24,37,23.42,99,31.33
Wolves,64,37.43,37,21.64,101,29.54
